PG.Genes,Log2FC,Raw_P_Value,FDR_Adjusted_P,Significance_Tier,QC_Omar_DIA_20260211_Pool_01_R01_S1-B10_1_9120.PG.Quantity,QC_Omar_DIA_20260211_Pool_02_R10_S1-B11_1_9129.PG.Quantity,QC_Omar_DIA_20260211_Pool_03_R19_S1-B12_1_9138.PG.Quantity,alpha_Omar_DIA_20260211_A01_R16_S1-B2_1_9135.PG.Quantity,alpha_Omar_DIA_20260211_A02_R03_S1-A2_1_9122.PG.Quantity,alpha_Omar_DIA_20260211_A03_R06_S1-A5_1_9125.PG.Quantity,alpha_Omar_DIA_20260211_A04_R18_S1-B4_1_9137.PG.Quantity,alpha_Omar_DIA_20260211_A05_R17_S1-B3_1_9136.PG.Quantity,alpha_Omar_DIA_20260211_A06_R05_S1-A4_1_9124.PG.Quantity,alpha_Omar_DIA_20260211_A07_R13_S1-A11_1_9132.PG.Quantity,alpha_Omar_DIA_20260211_A08_R12_S1-A10_1_9131.PG.Quantity,beta_Omar_DIA_20260211_B01_R14_S1-A12_1_9133.PG.Quantity,beta_Omar_DIA_20260211_B02_R08_S1-A7_1_9127.PG.Quantity,beta_Omar_DIA_20260211_B03_R04_S1-A3_1_9123.PG.Quantity,beta_Omar_DIA_20260211_B05_R09_S1-A8_1_9128.PG.Quantity,beta_Omar_DIA_20260211_B06_R15_S1-B1_1_9134.PG.Quantity,beta_Omar_DIA_20260211_B07_R11_S1-A9_1_9130.PG.Quantity,beta_Omar_DIA_20260211_B08_R07_S1-A6_1_9126.PG.Quantity,beta_Omar_DIA_20260211_B09_R02_S1-A1_1_9121.PG.Quantity
A0A140TA64_HUMAN;KR412_HUMAN;KRA46_HUMAN;KRA47_HUMAN;KRA45_HUMAN,0.384362473014843,0.5710720857860765,0.9473972667472937,Not Significant,0.13750352374993502,0.13750352374993502,0.13750352374993502,0.13750352374993502,0.13750352374993502,0.13750352374993502,0.13750352374993502,0.13750352374993502,5.037204056388088,0.13750352374993502,0.13750352374993502,0.13750352374993502,0.13750352374993502,1.9623042722693436,0.13750352374993502,0.13750352374993502,0.13750352374993502,0.13750352374993502,0.13750352374993502
A0AAG2SUK6_HUMAN;RM23_HUMAN,-0.22733645109977374,0.12243420787405801,0.652295107967259,Not Significant,3.843840920550248,3.8253654206243373,3.592651997588462,3.948047540718203,3.7597941741177983,3.322850884744758,3.8303563929209377,3.915901027316966,3.601597864029192,4.260366660989949,4.23321018857578,3.9890212676598544,4.436641870458725,4.053505666496596,3.831248837432684,4.360630376785419,3.7722292383430727,4.058037421921759,4.18950166311367
A2MG_HUMAN,-0.3737529924305325,0.17947352077363063,0.7134195812365535,Not Significant,3.47377870585711,3.606271479019769,3.571213254671212,4.060267320001201,2.7380367283934643,3.3624717820340986,2.5797181057200604,3.2409625901091212,3.0238161230301253,4.380531369901031,3.954792522778509,3.695967488907943,3.1541838703042644,3.8085630612325723,3.912845837909295,4.292903148958099,3.65319847545895,3.71657883159729,4.096379767043458
AATF_HUMAN,0.4396511956871578,0.34282033937858264,0.8221583135427932,Not Significant,0.13750352374993502,0.13750352374993502,0.13750352374993502,0.13750352374993502,0.13750352374993502,0.13750352374993502,1.6618524900684992,1.9270885964603972,0.13750352374993502,2.3208087298205506,2.2598627170337764,1.7035085383183532,0.13750352374993502,1.5130010799718046,0.13750352374993502,0.13750352374993502,0.13750352374993502,1.2983898258458682,0.13750352374993502
AATM_HUMAN,1.1776221518793113,0.046822276900828345,0.49969347971211886,Tier 2: Exploratory (Raw P + FC),2.7220890492419225,2.267316588769483,2.7753099205230507,3.1751628335226707,3.108754787599116,2.8278184728208204,2.7573753626447965,3.001460873699658,2.9095154610804417,2.5485388074985322,2.913838788006791,1.8891881001502924,0.13750352374993502,3.0144776611384723,0.13750352374993502,2.40249404590451,2.831389444930976,3.2714283484642785,0.13750352374993502
ABC3C_HUMAN,-0.16264992270723377,0.5040437986444544,0.9208909959755721,Not Significant,2.3097273514796175,2.8170011869312157,1.9816537830013796,2.3191822494097534,3.1887394062747565,2.78451785775679,1.512591353920534,3.5508559878947725,2.995426104643863,2.9289366823963623,3.0626187213481963,3.2433356994015634,3.0432450035508034,2.958429095012468,2.868894210359866,3.262207345519503,2.677943482294745,2.8007008578732564,2.7893120512906924
ABCD1_HUMAN,0.050866398701828075,0.8429772020874589,0.9890381512365587,Not Significant,0.13750352374993502,2.648316618271831,1.7037557453405006,2.1317244323196975,2.9071299305791065,2.3853960640542424,2.8485226066032414,3.027057943966745,1.9757523563017751,2.3950251535705434,2.6066410504841184,2.3574600538901587,1.8093450704985197,2.7841912430393108,3.3917354763224354,3.1999113230633474,2.2862007456494027,2.308701594528236,1.7327728412734342
ABCE1_HUMAN,-0.3419925592445887,0.2281939676156212,0.777796343893176,Not Significant,2.1354199505962645,3.4895060273111715,3.468503412975552,1.6530273139469964,3.1856223598951523,1.6256660033682055,1.996766577191952,2.9501084233624875,3.0337226200970693,3.2684854987847527,2.6454082492066973,3.1270817688224133,2.8652503689291704,2.7291625622545737,2.385494863464353,2.5969899176494327,3.2203533492013263,3.2652392694713748,2.9051754200173763
ABCF1_HUMAN,0.18127861736775186,0.3825846591862401,0.8507597289836295,Not Significant,2.714520835072105,2.716679844050169,2.991551066607158,2.590322226543598,3.3473406729447155,2.573026654464806,3.139471954734227,3.0116728537665933,2.046374973528846,3.0361597498411665,2.5782199814087945,2.497078132912239,2.250031261255565,3.482978985886851,2.275142209797234,2.640983736303387,2.6687291264008914,2.5606760432165787,2.496740632517981
ACADM_HUMAN,0.30107226989320734,0.1387262828166569,0.6578623915756627,Not Significant,2.380555915110078,3.4279567531453963,3.462674858652484,3.6421004088644064,3.3287060849621133,3.6646175562052976,4.069828236250283,3.374415843578752,2.9230766269462465,3.1419176802573725,3.9120674526530057,3.9286923967330765,2.86434886552083,3.1425960593309807,2.73939479481017,3.0348164688368686,3.2067122024284984,3.178072017995404,3.5535189249159895
ACINU_HUMAN,-0.2877631427662748,0.5529506264515021,0.9452072811842778,Not Significant,2.082819561549111,2.5511614994781553,2.92639988288039,2.6318713798487514,1.79973771833052,0.13750352374993502,0.13750352374993502,1.6726399893068344,1.6616154410335153,1.89116963264659,3.2777264132684056,0.13750352374993502,2.059196542666615,2.40756980120729,2.3710006860213118,2.3052743905424107,1.8725127691707366,1.797959738180589,2.5608553125257987
ACOT9_HUMAN,-0.3691180788317201,0.5445083250664058,0.9432748077369928,Not Significant,0.13750352374993502,0.13750352374993502,0.13750352374993502,1.2812677016267182,0.13750352374993502,0.13750352374993502,0.13750352374993502,2.421372901758824,0.13750352374993502,0.13750352374993502,2.8094778050497515,1.9270068669492992,0.13750352374993502,2.516812328742168,0.13750352374993502,2.9049618516907865,2.253785515456737,0.13750352374993502,0.13750352374993502
ACTBL_HUMAN,-1.0259757797402977,0.17785898546300904,0.7134195812365535,Not Significant,11.642249481491072,2.820588930329988,2.713145282502343,1.721844718742227,0.13750352374993502,0.13750352374993502,0.13750352374993502,3.2438469501534457,2.8743544537558656,3.299328845325493,3.850065959543873,3.299176430015276,2.0132661062637554,3.725673026179387,0.13750352374993502,3.7235645803816344,3.5964710703142204,3.5298021455251947,3.584300854263685
ACTBM_HUMAN,-1.1899654513910578,0.16033960515180054,0.6950910070442944,Not Significant,0.13750352374993502,3.675212486443394,4.381200915410121,4.664629003872942,5.088963804015218,4.759784514971776,4.033830234930464,3.846339114396784,5.0543300399394395,0.13750352374993502,0.13750352374993502,5.2205294822913,5.151825850121261,4.319319369657861,5.2976200471016694,4.505727512450635,4.018849538836941,3.8465450826985497,4.882190487596735
ACTB_HUMAN,-1.3160958515162449,0.0033532033760846347,0.15908791516707632,Tier 2: Exploratory (Raw P + FC),10.750098755170674,10.810571963646812,11.221946992802906,8.628297073348536,9.060611206069286,8.642827990475755,9.69300006397305,10.134401727420244,10.648202846862521,10.205177189972412,10.47608726747126,10.576621122721772,10.644060793795578,9.992860258637993,10.576687556418408,11.16840479510191,11.829468322563645,11.412444581417182,11.816824747066526
ACTG_HUMAN,-1.430992834158145,0.005337996966048562,0.19733071122844165,Tier 2: Exploratory (Raw P + FC),11.143340301537267,11.695147958786851,11.687384048180807,9.2938049722793,9.514978412734026,9.397504887724985,10.368835808596844,10.902658696190482,11.467140796929847,11.148400333130327,11.852521509634958,11.47706625651135,11.484542058323951,11.03163785048662,11.459932220527639,12.156939217093466,12.70669638737849,12.275646642351765,12.80132745781264
ACTH_HUMAN,-0.6235520186894856,0.04077456534740763,0.4637999811217262,Tier 3: Statistical Trend (Raw P),6.564754350308823,7.183442085561165,7.343510875160644,5.742328077105983,6.409777077914213,6.120960776575101,6.500999437168577,6.947297453599216,7.120867950434037,6.923623326368474,7.708608146899184,7.17841091994439,6.856597627043539,7.306644280549658,6.855053739412339,6.862064241656245,7.832861969517935,7.478336325842534,8.09290929161404
ACTN4_HUMAN,-0.7085408604992756,0.05369175408688006,0.5292902991116304,Not Significant,3.410700771870276,3.9162089099132222,3.586829849597195,2.4756882266198335,2.2202939055379685,2.6892654458784815,3.793256037234978,3.5557160857410834,3.9254764315125366,3.851827827008105,4.480069414315605,3.7661696677431955,3.823344283950556,3.4635712361786815,3.829576741965485,4.19846332512364,4.3990796865168,4.25930004862368,4.9204152677407595
ACTZ_HUMAN,-0.29110629482969186,0.08322219280321494,0.5921054373212341,Not Significant,2.0891091063885088,3.1302548734396494,2.7625268889452816,2.370125430677409,2.826582418368364,2.5591386447015543,2.310509754911489,2.8169978771763895,3.327669855409424,2.3289580305172075,2.7485916774295776,2.3981059014800583,3.106419919203422,2.7622819157597633,3.2236971967597134,3.032063445890969,2.9276041109174398,2.944483670044927,3.2227678877726604
ADDA_HUMAN,-0.6072125750822273,0.032596683079001196,0.4072708503358917,Tier 3: Statistical Trend (Raw P),3.7696398666968234,3.6670459007188216,3.5827351181268083,3.127443796683259,3.8329323373892237,2.8384063318333603,2.2190476356825495,3.2177671299685033,2.599994138612171,3.5606500480880956,3.6596089057956886,3.2275355973085174,3.1388610253917797,3.545577875757138,3.4814491455921557,3.956190867826454,4.365584061282504,3.9335107214114937,4.264841630140626
ADDG_HUMAN,-0.6499406688679787,0.020558782876860214,0.35398593420175756,Tier 3: Statistical Trend (Raw P),2.81295674795336,3.0813567165185205,3.386564261008865,2.2481895704040524,1.6946283975643184,2.480048682520278,2.6671310469676865,2.916713882012502,3.037579450129638,2.9029751148027687,3.3926212518647176,2.6080801678170746,3.115931590281627,2.835890386097831,3.1596137443155654,3.414059729900387,3.8703204707851255,3.761348506890127,3.7741681511220566
ADRO_HUMAN,0.8287458003600219,0.07372190781352576,0.5708000028988408,Not Significant,0.13750352374993502,2.5728236286071584,1.615092290272214,2.4565076526510317,2.3591316174925874,1.5298367542227629,2.5645824658733627,2.5423962087341287,2.897880084884764,2.4942868564152523,3.3986350873571984,1.6239426474044334,0.13750352374993502,2.982431290984302,0.13750352374993502,2.327027295683824,2.288936107434082,2.4071556341822524,1.7087903015621488
ADT1_HUMAN,-0.39135870343588275,0.5710276775765318,0.9473972667472937,Not Significant,0.13750352374993502,3.2019171237057713,2.9878453015743727,2.2978123693819676,3.3279478660373494,3.383042885932987,2.6894856671127343,0.13750352374993502,0.13750352374993502,3.225568670872517,3.698878623187834,0.13750352374993502,1.9469539870097448,3.817806358944663,2.4015773516746894,3.6052943088116893,3.0289317684875017,3.806156378838576,3.284389079995525
ADT2_HUMAN,-0.22240331711849493,0.0792086360062358,0.5882612708548357,Not Significant,6.3878863121820935,6.992552489819469,7.4000402703460795,7.032680851729003,6.802552430482951,6.811546717942777,6.925104674482929,7.231106202438336,6.69551891709184,7.305134036218783,7.428642644792377,7.164209220330687,6.897200177094347,7.406002461560029,7.150500516717082,7.3410045422955434,7.190534958700107,7.328925948777714,7.533135186651442
ADT3_HUMAN,-0.09206228834167529,0.5252855456585963,0.9343193721960279,Not Significant,3.8683023176037117,4.180695706645323,4.016335208487655,4.451090077457695,4.202549732551527,4.253303697308987,4.15677186373442,4.680076224791929,4.408908800877582,4.888878970719827,4.903570788118592,4.588202681504161,4.20517329776678,4.709699375140668,4.5001701657323885,4.718713773021142,4.59172520165024,4.30387155286256,5.064092414616026
AGO1_HUMAN,0.07973568582459434,0.5294844753489033,0.9377155111441351,Not Significant,2.813076345165859,4.038766155820383,3.395709349824072,2.981762091208236,3.2020324885581224,3.0739315072312956,2.9062952948833516,3.4172208540941456,3.408167380929606,3.1730725925509273,3.151673916646678,2.741155570970703,3.4430423027186157,3.4684089264924407,2.7292756303722854,2.908140955895603,2.9335978534304914,3.2392528499279303,3.2133965496975367
AHNK_HUMAN,0.09565549410392893,0.8808193229414365,0.9890381512365587,Not Significant,0.13750352374993502,0.13750352374993502,0.13750352374993502,0.13750352374993502,0.13750352374993502,0.13750352374993502,3.2873639978587357,0.13750352374993502,0.13750352374993502,0.13750352374993502,2.6792735998554797,0.13750352374993502,0.13750352374993502,0.13750352374993502,0.13750352374993502,0.13750352374993502,2.0853719451098147,0.13750352374993502,3.1160216997729697
AIFM1_HUMAN,-0.5628539738660086,0.29368482801178886,0.8110876011904427,Not Significant,0.13750352374993502,1.8119594391317007,0.13750352374993502,2.581735858117342,0.13750352374993502,1.5681919256931989,0.13750352374993502,0.13750352374993502,0.13750352374993502,2.0443092681849118,2.0629559681775587,1.639333531728269,0.13750352374993502,2.3427026668986572,1.9872527391648422,2.684273556503071,0.13750352374993502,1.9280582853408244,2.453411078965286
AIMP1_HUMAN,0.44719946997852644,0.46387032446675003,0.8974988171312964,Not Significant,0.13750352374993502,0.13750352374993502,2.28634179864931,3.0791554903845983,2.6145649523865497,0.13750352374993502,0.13750352374993502,2.553473592380415,1.7443284194808837,3.162890824715751,0.13750352374993502,0.13750352374993502,1.8614808878449025,2.3289470337090634,2.0680173099781713,0.13750352374993502,1.1862313131562507,0.13750352374993502,2.1321409748315974
AIMP2_HUMAN,-0.5585731567868717,0.31774971421935394,0.8221583135427932,Not Significant,0.13750352374993502,0.13750352374993502,2.590493345334819,0.13750352374993502,0.13750352374993502,0.13750352374993502,0.13750352374993502,1.3996133867319327,2.274848733342792,1.9586613623867222,1.805840553996418,2.2217448596226457,0.13750352374993502,2.153713107337452,0.13750352374993502,2.3722203531491233,0.13750352374993502,2.6461100588724498,2.6512644355211035
AKA11_HUMAN,1.1999441929377541,6.713303086286209e-08,1.7481441236689287e-05,Tier 1: High Confidence (FDR),3.96043573053182,3.603504291554991,4.017158868463478,4.434032538270555,4.309843890979594,4.941194602401886,4.342827259450222,4.551266773856959,4.32887448042015,4.88849153328062,4.547478453367108,3.503106320573591,3.082150479296955,3.387728408415374,3.221179961877462,3.408957836045973,3.3090736597282855,3.210934112272803,3.621325210314615
AKA7G_HUMAN,0.7585408912372955,3.0164883703509784e-07,5.2322365381000295e-05,Tier 3: Statistical Trend (Raw P),9.596191867355166,10.22452432582249,10.307115052293543,10.890877556238575,10.642339183295226,10.442235586727532,10.592337993073109,10.948955774932253,10.59143966730521,10.75603462883178,10.613449212498468,10.100394299351311,9.631755828506378,10.0434777170538,9.875603704698584,9.983984325381542,9.76196707156777,9.925231889894672,10.086927636549735
AKAI1_HUMAN,0.8671776826328825,0.004396908309796443,0.17889920685484278,Tier 3: Statistical Trend (Raw P),4.7554100806352695,5.072517924903349,5.431048137201376,5.733670130837558,5.323051830434,6.028809735187075,5.969217084149326,6.156507291653836,6.309748734672311,5.635915692810465,5.815638477538708,4.996933818986707,5.044834270635307,5.865008805017979,5.636477617180347,4.350504137167839,4.226445394795208,5.3852604525761665,4.529673019860672
AKAP1_HUMAN,2.3504309621479402,1.7685021730445006e-08,5.756474573259849e-06,Tier 1: High Confidence (FDR),5.476795646887246,5.678854587358335,6.138407144078942,6.961250208904068,6.864844106340832,6.787426132440652,6.648629638799635,7.106974811041775,6.865770212128033,7.1320721040169515,6.781110532430195,4.889489945080106,4.636519585768301,4.9609989783675665,4.328783367006541,3.918098839641204,4.309005663896948,4.411180230246095,4.890553438911855
AKAP5_HUMAN,0.051249142626605515,0.7074781473060457,0.977007225795428,Not Significant,3.080911254512837,3.4690418374330982,3.65919570798528,3.486384798869345,3.519426219021148,3.5185179203287977,3.1749255608041955,3.7872184685960053,3.4788590418180063,3.671063150653346,3.2987136204391403,3.7652166850337965,2.987619352759266,3.716135993746107,3.5562998895807914,3.7925706384860893,3.0436362296401787,3.2102334296327943,3.453403420638113
AKAP9_HUMAN,0.5331646598174329,6.233394187291243e-05,0.008115879231853198,Tier 3: Statistical Trend (Raw P),5.8446845656549415,6.400550769015099,6.519769480153378,6.841870190206583,6.699985699342432,6.5585604134287125,6.57926539240481,7.107498178687603,6.707692530687635,6.969047055638415,6.708627480296677,6.388625000491464,5.996111439468884,6.4896803993407515,6.192855932140918,6.283779755606393,5.945681944077699,6.245417388071277,6.365077802956018
AKP13_HUMAN,2.627925268153149,5.435993796603835e-13,2.359221307726064e-10,Tier 1: High Confidence (FDR),4.467090077979312,5.177083414496657,5.291825811679902,6.015226317295119,5.816909467409498,6.421825654342957,5.843661710617701,6.296546822822971,5.962372640723849,6.239633172914607,6.037746195505587,3.517969801394567,3.3599158872626336,3.424841564145353,3.5863475712331447,3.4326595104921482,3.126980528704641,3.408245972401544,3.7535590007730666
AKP8L_HUMAN,-0.535431201144692,0.36553502419364897,0.8393767222224532,Not Significant,0.13750352374993502,0.13750352374993502,1.3826998796209073,2.1715667507762335,1.5446553913856587,0.13750352374993502,0.13750352374993502,0.13750352374993502,0.13750352374993502,2.985868055486885,2.138390119984085,0.13750352374993502,0.13750352374993502,2.923609330090227,1.796065812317349,2.6922296612964094,1.2711601351974462,1.9787586455025221,2.7371133898863143
AL1A1_HUMAN,0.22970763464375743,0.5561529893653495,0.9452072811842778,Not Significant,2.5973548901457226,2.51656541523997,2.7998610941928894,2.686672939636816,2.610025199276935,2.24038841760898,3.262890208098068,2.962946379934793,3.223503166914697,2.4413595166755844,2.744307325784906,0.13750352374993502,3.240311049885041,3.062591400684587,2.598424223725957,2.735699796943266,3.085653177418432,2.8671141524915904,2.6071347518819135
AL3A2_HUMAN,0.09733776637850644,0.6325613974734753,0.9670583591688167,Not Significant,0.13750352374993502,2.392665414781511,2.8682973320737477,1.9785572098964797,2.809061550101411,2.2143964248881622,3.201029364037621,2.2448405922205317,2.5221335297613803,2.8226010891020477,2.8912194538936395,1.952915036727982,2.472151023477829,2.6345152454079543,2.0477572462995464,2.564716548718831,3.1519551410855007,2.365472468844974,2.7156543723106026
AL7A1_HUMAN,1.1132388581543042,0.015578271433079492,0.32714370009466937,Tier 2: Exploratory (Raw P + FC),0.13750352374993502,1.2082091553088101,1.5130671143698717,2.2011772110128853,2.18735326323417,2.512433146257005,2.792920087612364,0.13750352374993502,1.4982615888698236,1.6842077294285787,1.5555765879001702,0.13750352374993502,0.13750352374993502,1.8870384610968929,0.13750352374993502,0.13750352374993502,0.13750352374993502,1.62818446408646,1.46078172889747
AL9A1_HUMAN,0.9230405049721271,0.10104385513024178,0.6190876349466183,Not Significant,8.953215597225094,2.454611245365087,2.355511630699011,1.4924020660305288,0.13750352374993502,2.7092681003607084,2.81636490040952,2.6539884127294116,0.13750352374993502,0.13750352374993502,1.8657268564070622,0.13750352374993502,0.13750352374993502,1.3732180715820534,0.13750352374993502,0.13750352374993502,0.13750352374993502,2.3676976533283565,0.13750352374993502
ALBU_BOVIN,-0.2838199485897235,0.1055862837079955,0.6248355696444043,Not Significant,8.588421484766599,9.247617321795744,9.337900271065264,8.79630798989948,9.154042733379473,9.226640763583953,8.775857387467587,9.3471281060613,8.958356705157142,10.033249146861728,9.394570148977191,9.325070439283433,9.072433989700428,9.559384792248524,9.616561914974117,9.549793571882486,9.638330384850526,9.613276271437977,9.58186120572815
ALBU_HUMAN,-0.0331882321080208,0.8346874118765002,0.9890381512365587,Not Significant,8.117826651931077,8.490995201662264,8.442946257451974,8.630388966413097,8.426222012590339,8.245423479940918,8.337286452211838,8.096805831100074,8.222718771751476,8.354094224459555,8.756437863388363,8.452036329603754,8.602477159903952,9.215437281631711,8.475166121142092,8.195136416739846,7.9587772094781775,8.264721197158776,8.171131743061515
ALDOA_RABIT;ALDOA_HUMAN,0.9276019458301858,0.09566184301523577,0.6182282775030021,Not Significant,2.8017386232256993,2.8194108400269924,2.7483973029748685,3.324194428453915,3.6475574961360326,3.0369143735800774,3.1087591142085746,3.198433170305533,2.973074061472478,3.2117544451689035,3.413106845799079,0.13750352374993502,3.3341504252830823,3.133550097151735,0.13750352374993502,2.8966513422285565,3.2328885660863347,2.86970327513813,2.7510276150953987
AMPL_HUMAN,0.6297285506283371,0.31874734457610976,0.8221583135427932,Not Significant,1.6134988502357142,2.050965342287739,2.533980912123732,0.13750352374993502,0.13750352374993502,2.314019323281343,0.13750352374993502,0.13750352374993502,4.547137691301559,0.13750352374993502,1.351460172922452,0.13750352374993502,1.165827979918614,1.2088970603842286,0.13750352374993502,0.13750352374993502,0.8000637421758142,0.13750352374993502,0.13750352374993502
AMY1_HUMAN;AMY1B_HUMAN;AMY1C_HUMAN;AMY1A_HUMAN,-0.41431668705417934,0.4420631894705413,0.8939493210530289,Not Significant,0.13750352374993502,0.13750352374993502,1.9172885848787926,0.13750352374993502,0.13750352374993502,0.13750352374993502,0.13750352374993502,0.13750352374993502,0.13750352374993502,1.3978290168447538,3.0756485617923452,0.13750352374993502,0.13750352374993502,2.4545085096048616,1.9397283066282305,1.7357841197194634,1.9329971866178488,0.13750352374993502,0.13750352374993502
AN32B_HUMAN,-1.6294184254230377,0.06422100173378227,0.5428390031350318,Not Significant,0.13750352374993502,3.247422807844165,3.8844638743353173,4.046746714975252,0.13750352374993502,0.13750352374993502,0.13750352374993502,0.13750352374993502,0.13750352374993502,0.13750352374993502,2.9080712525263492,2.306534925447515,4.49665975931831,3.3744631183025127,0.13750352374993502,3.657986811861497,3.9744154026885194,0.13750352374993502,2.730119448267289
